caseID,Recov,Resist,OEV,CV,AUC.delatbm.tot
CK043_2,-0.12592163583889107,-0.5219886282874532,0.1517906485334518,-1.097205804273271,-0.1517906485334518
CK045_1,-0.01449275362318844,0.06839186691312386,0.24910583535212755,-0.2283995976517832,0.12762249062291123
CK045_2,0.0707964601769912,0.29014084507042254,0.20948516164141595,-0.4650900939005275,5.534644981316714e-5
CK045_3,-0.06598984771573609,0.4035502958579882,0.27042015153224497,-0.9215977467676061,-0.20965833090522332
CK045_4,-0.014492753623188352,0.534195933456562,0.47276312221677996,-1.0970376151612966,-0.4666921466689764
CK045_5,0.0078098471986416595,0.14596100278551533,0.20184433504968197,0.22522891813530874,0.1593969175175105
CK045_6,0.08170961659333757,0.10114335971855765,0.12759023038720083,0.46975243047651066,0.07361896176894568
CK045_7,-0.12039877300613493,0.14045416316232126,0.13582516812444528,0.4474447277637892,0.09162450371374836
CK045_8,-0.0317796610169491,0.04067584480600747,0.21026252067302525,0.47908972551601153,0.15054510438587257
CK049_1,0.14782547641346255,-0.2654713581788567,0.288883180050757,-0.16490301313105937,0.08008839929144766
CK049_2,-0.4024331529618692,-0.3940333121710594,0.32335147824209787,-1.5396726519854487,-0.32335147824209787
CK053_1,0.14425421342399478,-0.6379734697991182,0.3942669069986715,-1.4998605619606094,-0.37563381284874386
CK056_1,0.16282325532315498,0.878560024220167,0.4021737250863572,1.7988409538940744,0.4021737250863572
CK056_2,0.18644847566830478,0.49934297166944114,0.3020234906322483,2.2434993663971037,0.3020234906322483
CK056_3,0.20586328708888157,0.4683802075035558,0.1558022770272235,1.028296649201688,0.1417747998764055
CK056_4,-0.3360332288908374,-0.23657538047231436,0.3189260369332604,-5.875989038113775,-0.3189260369332604
CK059_1,-0.2907663409279643,-0.888520147538617,0.4259499934445301,-1.453570257760899,-0.4259499934445301
CK059_2,-0.08089586468234973,-0.8930222940227488,0.4496399943211194,-1.3290445711384204,-0.4496399943211194
CK059_3,-0.2389827014750218,-0.9255673335300202,0.5204242395363675,-1.8489237346830858,-0.5204242395363675
CK062_1,-0.1498220259429981,-0.24560169089399292,0.15971838282383335,-4.4669892309474815,-0.15971838282383335
CK062_2,-0.2564826868522707,-0.23435704752937545,0.14235900015610758,-2.648382152296848,-0.14235900015610758
CK066_1,-0.1053855588958512,-0.19581645045092286,0.13655473762933729,-1.367110095336219,-0.1365501826883506
CK066_2,-0.01096627833256791,-0.09764506623110926,0.07180331942735825,-0.4186382609008004,-0.06807345456675365
CK066_3,-0.2501619705532729,-0.07728583374534156,0.2917363542260392,-1.0004513443750829,-0.28797491316646817
CK066_4,-0.20024756961139448,-0.2903963914371277,0.39896671529860217,-0.24670279772772166,-0.32516141364096074
CK066_5,-0.2904062276601562,-0.43562001775771336,0.4201182199451109,-1.5216603109620488,-0.4195628257263372
CK067_1 & CK067_2,0.05890227576974516,-0.30830709614918844,0.22905653608348034,-1.1579877673899535,-0.22388037168369385
CK069_1,-0.0863708368149003,-0.2266605558235767,0.3120133573796347,-1.2543462257087412,-0.3120133573796347
CK069_2,0.06695185953120263,-0.5078987790252626,0.09626072491488566,-0.7533365127510853,-0.07873911071987574
CK069_3,-0.12916779803978465,-0.20021523163819985,0.28835556352121383,-1.5571120804338834,-0.28821549782591804
CK069_4,-0.040139850597133944,-0.498578852549058,0.19008433952834894,-1.295470761252832,-0.19008433952834894
CK069_7,-0.046491275197778646,-0.14486883093379216,0.16267944088715458,-1.7921316355042283,-0.16267944088715458
CK069_8,0.041711475145326186,-0.28859210240334804,0.23518168485257498,-1.4106521006717472,-0.23224935611511907
CK074_1,-0.16508538899430747,-0.17995532679421164,0.14969081298881604,-6.364363887992231,-0.14969081298881604
CK074_2,0.052590318155092436,-0.013864975079294024,0.14541771722067381,1.2319049394381707,0.14502948873526328
CK075_1,0.02814922031105183,-0.35468246279209015,0.2555867284862172,-0.8878532087869275,-0.2536697205873293
CK080_1,-0.04625451958413391,-0.5787204123725033,0.18683438527478471,-0.9086705958411129,-0.18683438527478471
CK080_2,-0.20703118040611632,-0.22470869722592018,0.28411435308079314,-1.435561862881029,-0.284113371365686
CK081_1,-0.07354896013486137,-0.34251820754987494,0.2208660616906166,-1.4105559747665217,-0.2208660616906166
CK081_2,-0.047236826030652906,-0.37819018773600394,0.32191895288696487,-1.5973381894856875,-0.32191895288696487
